disaster_type,latitude,longitude,avg_temperature,rainfall_mm,humidity_percent,wind_speed_kmph,atmospheric_pressure_hpa,soil_moisture_percent,seismic_activity_richter,elevation_meters,month
Earthquake,50.5414,-110.9616,11.0,43.7,24.5,4.9,1014.3,46.4,9.0,596.0,1
No Disaster,-57.9129,175.1212,20.7,12.3,31.4,17.6,1014.4,49.9,0.7,70.5,5
No Disaster,39.545,-146.0735,19.5,5.7,52.9,10.8,993.9,45.8,0.8,180.4,3
No Disaster,10.7808,-71.6691,12.5,8.1,37.0,10.7,996.0,45.3,0.3,671.0,1
Tsunami,-79.3244,-70.0827,29.0,19.2,83.1,2.8,1015.0,20.4,7.5,30.8,1
Heatwave,87.1548,-169.0779,50.0,1.2,16.2,0.9,1014.1,18.5,0.4,529.3,6
Landslide,-36.4513,-73.3147,20.9,207.5,70.0,21.5,977.7,73.1,3.0,1759.8,4
No Disaster,-87.4301,36.4741,18.4,2.7,34.5,15.9,1016.6,38.5,0.9,355.0,12
Earthquake,31.1768,117.0695,16.1,49.5,24.6,13.2,1005.7,47.9,7.3,517.4,3
Flood,39.8838,-78.337,27.5,295.1,91.8,13.6,985.1,72.6,1.5,64.6,7
Drought,68.4453,-79.2226,31.6,1.1,12.3,17.3,1020.1,18.0,0.9,2.8,7
Drought,-12.1318,1.175,39.6,3.0,22.8,8.4,1020.8,11.4,0.9,104.9,11
Earthquake,82.0835,-102.6954,20.3,36.8,53.4,18.6,1003.2,48.5,5.9,1218.0,6
No Disaster,15.7522,-157.8089,24.4,2.8,39.1,16.5,996.6,37.3,1.3,276.1,6
Volcanic Eruption,-18.812,-63.9582,17.2,47.0,60.3,3.0,982.2,75.6,4.5,3966.6,9
No Disaster,41.2967,167.0197,12.3,4.5,36.8,0.4,1008.1,50.1,1.2,71.3,3
Flood,-52.1304,-75.494,26.8,247.8,71.3,21.8,992.5,78.0,2.1,9.8,1
Earthquake,80.3276,84.0101,22.7,32.3,69.6,2.1,1007.7,57.9,7.8,1665.6,8
No Disaster,14.7925,-90.4261,19.9,14.2,30.3,8.8,1015.3,44.7,0.6,871.8,7
Hurricane,-78.929,-161.5196,28.8,200.6,92.9,211.4,932.5,58.8,0.5,54.8,9
Hurricane,-87.4436,-124.7697,29.2,160.3,87.8,168.3,968.4,76.4,0.9,22.5,2
Blizzard,-18.5602,-85.3473,-18.7,5.0,73.7,34.5,993.9,60.8,1.2,424.8,2
No Disaster,-1.76,-51.0158,22.4,0.5,37.3,3.1,1015.8,44.0,0.8,449.5,11
Blizzard,86.8839,129.6892,-9.4,9.4,88.9,31.4,995.5,62.9,0.6,1509.0,3
Drought,11.2754,109.0679,36.4,2.3,29.9,24.1,1021.1,13.8,0.4,456.7,10
No Disaster,-54.195,157.0869,10.3,8.8,30.6,9.7,1005.0,39.6,0.3,376.4,5
Hurricane,-15.0571,119.8735,34.9,197.7,88.3,176.7,977.7,69.1,1.4,92.2,10
Landslide,72.382,150.2842,24.0,217.6,82.0,26.1,986.2,88.0,2.5,1112.5,12
Wildfire,-50.5268,74.2437,46.7,4.6,15.5,29.4,994.8,11.9,1.2,1432.5,11
No Disaster,1.3309,-61.5889,17.6,0.5,39.4,16.4,1006.6,43.5,0.6,298.0,3
Drought,-88.1872,-81.0755,31.6,6.6,13.0,20.3,1005.2,18.0,0.8,57.3,1
Earthquake,55.6262,101.0638,14.3,35.8,68.0,6.9,996.0,30.1,7.3,704.9,2
Heatwave,-50.7772,53.1612,44.2,0.3,14.6,0.3,1021.0,1.5,0.6,634.4,10
No Disaster,38.5357,84.9367,12.1,19.3,54.6,4.1,995.6,33.8,0.3,748.2,12
Tsunami,-33.5565,121.9336,24.3,21.8,75.3,12.4,1001.9,58.4,8.1,22.9,9
Drought,59.7283,57.3764,35.2,6.7,21.1,23.6,1021.0,12.9,0.5,389.8,3
Flood,-50.1035,-82.9836,18.6,497.5,75.9,27.3,1007.8,65.9,2.4,94.7,2
Drought,-26.027,115.3787,30.7,7.6,11.7,14.5,1020.6,5.4,0.3,340.7,7
Drought,-6.327,13.5083,44.9,4.0,20.4,12.3,1009.8,13.9,1.4,271.2,4
Landslide,28.596,52.9601,10.5,150.3,72.4,22.9,996.3,71.1,4.0,2424.1,12
Wildfire,76.6353,52.3244,41.2,9.3,16.8,20.0,993.9,20.3,1.1,1226.6,7
Drought,-43.8322,33.7503,30.2,2.6,21.5,5.6,1002.1,5.9,1.3,382.4,9
Volcanic Eruption,-7.1305,-48.8124,12.1,31.8,65.1,27.1,963.9,59.8,8.0,2427.1,12
Drought,-18.3588,-48.8209,30.2,2.5,23.0,17.1,1022.9,1.0,0.2,394.6,9
Heatwave,41.3459,111.9655,48.6,2.0,10.9,10.7,1011.7,8.1,0.8,294.1,3
Drought,-88.7786,-164.3558,43.6,5.3,23.4,21.8,1023.7,17.4,0.7,168.0,7
Flood,-62.1105,125.6524,22.8,480.0,94.2,30.8,980.2,77.1,0.5,91.1,8
Earthquake,48.3206,-106.1021,24.2,29.0,30.3,5.2,1007.4,46.7,8.6,1468.8,1
Hurricane,58.0094,22.561,34.6,182.6,92.9,155.5,943.9,57.2,1.1,21.5,12
Wildfire,-74.8313,112.2702,45.8,7.3,6.5,45.9,1010.4,24.9,0.1,230.0,3
No Disaster,-15.9746,154.7792,15.2,19.3,57.3,12.6,1007.4,41.1,0.0,127.6,8
No Disaster,19.1538,-17.4615,24.1,2.5,36.4,0.6,1003.0,38.3,1.7,604.9,9
Wildfire,5.7439,-146.9339,41.7,10.0,17.5,54.7,1014.7,3.1,0.5,204.1,7
No Disaster,-70.4507,-9.7944,20.2,17.5,52.5,18.8,991.6,30.4,1.3,289.4,8
No Disaster,-30.4403,-82.8734,17.7,8.8,45.4,13.5,1001.6,37.5,0.3,349.5,10
Hurricane,40.1813,108.578,32.9,296.7,94.7,215.5,972.9,50.0,0.7,73.8,2
Blizzard,-70.2669,89.8653,-25.9,0.7,99.0,77.4,982.1,77.7,0.3,1022.2,5
Hurricane,-19.3125,41.7739,26.2,236.9,91.6,165.8,977.7,74.3,0.4,47.9,7
Heatwave,-8.931,-62.9521,44.7,1.6,7.5,12.9,1023.5,18.9,0.4,173.7,7
Volcanic Eruption,43.6789,-115.2373,23.3,37.6,76.0,12.7,1015.8,54.7,4.3,3288.9,6
No Disaster,41.2261,154.0116,15.0,10.1,30.4,0.1,997.2,33.0,0.5,177.0,8
Tsunami,78.5425,32.9758,20.1,1.0,81.1,5.6,1007.4,30.1,7.7,25.2,11
Earthquake,68.0099,142.2382,23.2,17.2,73.6,5.8,1009.7,34.0,9.2,281.5,3
Tsunami,-36.0733,44.3382,24.7,3.5,71.0,0.5,1009.3,64.6,9.2,35.0,7
Wildfire,-16.2274,8.9763,42.2,4.5,16.6,36.3,999.5,7.7,0.1,958.2,8
Flood,36.5024,-17.0035,18.6,463.2,92.3,37.0,1004.6,99.6,0.5,8.7,4
No Disaster,86.9301,-81.311,13.0,8.8,31.7,19.6,1007.7,46.7,1.3,497.0,6
Blizzard,20.216,77.8226,-17.5,7.6,69.1,33.3,985.6,74.9,1.3,1673.0,1
No Disaster,-15.073,-84.4203,14.5,5.4,46.0,12.1,1004.7,42.2,0.4,482.5,4
Blizzard,7.4872,63.0682,-11.0,4.6,82.2,37.1,980.8,85.0,0.4,1371.0,6
Volcanic Eruption,74.867,164.9242,5.2,49.5,61.0,25.7,951.1,74.4,4.7,3512.0,8
Wildfire,18.1332,65.4599,49.9,2.3,14.4,33.0,991.2,0.4,0.2,1043.8,8
Blizzard,-78.264,-69.3243,-21.4,9.2,94.7,42.2,982.5,95.8,1.3,1724.0,4
Blizzard,-19.5519,139.9296,-22.8,2.8,62.1,67.7,994.6,69.2,0.3,1812.7,9
Tsunami,-8.0345,111.7691,28.3,12.3,75.6,0.7,1010.2,40.2,8.1,43.7,9
Flood,3.4001,-129.6292,22.7,272.7,75.5,11.9,1002.9,77.1,1.6,72.8,3
Tsunami,-16.0341,13.89,22.5,26.7,70.0,3.0,992.9,20.7,8.1,9.4,5
No Disaster,-35.7794,-173.3145,23.3,4.5,57.9,14.3,1012.9,36.0,0.5,521.3,3
Hurricane,-51.8761,126.3999,29.3,294.3,93.1,196.7,966.4,69.1,1.0,85.1,8
Earthquake,71.5038,140.6976,29.5,35.0,50.1,3.3,1014.7,41.7,6.6,476.6,8
Landslide,-86.6778,16.419,20.6,347.6,75.8,7.9,993.1,79.9,5.4,1947.5,6
Landslide,84.3645,-149.8155,15.2,254.8,70.5,10.9,982.3,85.2,3.3,2452.4,9
Drought,84.0573,-122.3733,41.8,9.8,5.5,19.0,1006.3,0.8,0.6,467.6,2
Tsunami,-47.5841,142.0284,21.8,6.4,68.1,6.1,1005.4,55.7,9.3,4.4,12
Blizzard,-5.2051,-36.7369,-20.7,4.5,75.4,45.9,1014.3,63.5,1.4,1012.4,4
No Disaster,-81.258,37.3416,22.0,11.7,59.9,9.1,1012.5,50.0,2.0,713.2,6
No Disaster,-72.2417,42.8735,12.2,10.4,30.2,6.3,1010.3,44.5,2.0,874.1,12
No Disaster,-62.2149,-89.6449,21.1,16.1,38.4,7.4,992.3,51.4,0.0,46.5,10
Heatwave,-14.8703,-72.8832,49.1,0.4,12.8,14.1,1016.4,11.1,0.1,632.1,6
Hurricane,54.0927,-88.6328,29.2,268.0,99.3,108.9,970.6,62.0,1.1,29.0,12
Heatwave,14.3932,-147.9589,46.9,0.3,20.7,3.8,1016.3,7.0,0.9,101.2,9
No Disaster,-64.4289,73.7265,23.6,8.7,44.6,18.5,1005.6,44.6,1.2,689.2,11
No Disaster,47.7276,-10.675,14.8,12.5,49.6,15.4,994.7,52.2,1.2,57.6,3
Tsunami,66.187,-179.2293,23.8,24.6,71.0,12.0,1008.2,38.3,9.3,25.2,12
Heatwave,89.5525,-2.3399,41.8,1.0,21.3,11.7,1021.8,14.2,0.3,689.7,5
Flood,-86.5352,117.0774,17.1,292.9,87.1,17.4,994.9,92.4,1.2,94.9,2
Earthquake,44.1906,1.9195,23.0,25.1,49.5,3.4,999.8,36.4,6.3,1946.0,2
No Disaster,-41.5313,32.6123,19.2,3.1,53.8,15.7,997.1,38.7,1.9,825.7,2
Blizzard,-21.0973,-123.3815,-10.7,5.4,71.0,48.8,1006.1,68.2,0.4,757.6,11
Flood,60.9583,-142.7124,27.6,245.8,72.5,29.3,994.2,96.3,0.9,28.7,7
Earthquake,-12.0658,-128.1112,26.5,46.6,57.4,6.9,995.4,40.6,6.5,1227.1,9
No Disaster,-81.3111,-179.632,19.0,5.7,56.4,6.5,998.7,38.1,0.3,581.5,9
Heatwave,-13.5664,-14.0501,40.2,0.0,15.4,10.4,1024.1,3.6,0.1,41.7,2
No Disaster,22.1665,122.5992,20.2,4.2,43.9,18.2,999.8,45.0,1.9,734.7,1
Earthquake,35.0409,97.0147,14.9,2.5,70.9,0.2,1022.8,55.1,6.8,493.0,4
Landslide,53.4076,36.0506,20.7,226.0,85.3,22.4,990.8,88.0,5.2,1430.4,6
Wildfire,43.0424,-65.5165,46.9,4.3,11.8,35.6,1011.4,8.2,0.2,922.9,9
Blizzard,50.4467,-61.1598,-20.3,5.6,94.5,33.4,1012.9,84.0,1.5,270.3,5
Earthquake,-15.7026,95.1284,21.7,3.6,73.5,0.6,1016.2,60.4,9.3,108.3,6
Wildfire,-12.9887,-60.9721,36.4,5.6,12.2,15.2,1008.4,22.1,1.5,1377.0,3
No Disaster,28.5815,44.3279,17.4,4.2,41.5,10.9,1004.0,33.8,1.3,73.1,7
Earthquake,-71.1319,128.9849,16.2,48.6,27.1,19.2,993.2,39.2,5.7,1410.2,9
No Disaster,7.9086,-38.9365,14.7,5.0,40.3,9.2,995.8,36.7,0.5,449.3,12
Earthquake,72.3309,-134.1461,26.5,20.5,79.4,9.4,1009.4,51.2,6.8,150.0,6
Earthquake,-49.509,136.0196,19.6,28.2,55.6,12.8,1007.3,30.7,6.8,367.7,4
Blizzard,-73.6081,-9.3889,-24.2,2.1,86.5,74.7,994.1,68.3,1.0,1755.3,7
No Disaster,6.5798,90.6754,12.1,7.0,41.7,10.2,1017.9,56.2,0.3,172.8,4
Flood,-88.8309,-140.4781,23.6,207.1,81.9,19.1,1001.4,62.2,1.2,57.9,5
Earthquake,-35.2138,65.6975,27.0,34.7,75.9,14.3,1016.8,36.7,7.2,970.1,9
Blizzard,80.1212,-102.795,-27.8,8.9,93.9,79.6,1003.8,97.5,1.2,1704.4,7
Volcanic Eruption,-0.5897,36.0052,8.6,27.0,36.5,29.2,1008.3,68.6,7.7,2537.4,11
No Disaster,-64.9462,-178.7804,13.7,14.1,33.0,18.2,996.5,36.1,0.4,14.0,7
Landslide,-11.3176,73.9021,18.5,387.7,87.9,0.4,985.9,74.3,5.7,1208.0,2
Hurricane,-7.9351,-154.3656,33.0,186.5,93.1,110.3,977.8,57.7,1.8,80.9,12
Blizzard,-84.1572,88.0405,-26.0,1.3,60.9,23.0,989.2,62.6,0.6,1682.3,2
Flood,41.0101,-146.1924,24.9,295.0,92.5,14.1,1006.9,69.7,0.9,95.0,4
Flood,-87.9922,-92.7627,25.2,269.3,85.3,36.6,1000.8,75.8,0.9,45.6,1
No Disaster,24.1201,-48.905,22.8,15.1,48.3,7.3,996.3,53.3,1.0,224.8,5
No Disaster,-19.09,40.0743,10.7,15.0,32.4,13.1,990.6,55.0,0.3,515.5,6
Volcanic Eruption,40.0765,-64.3136,19.5,14.2,65.1,1.2,969.8,59.9,4.2,1558.1,5
Earthquake,-16.5852,73.8124,14.5,39.8,57.8,11.8,1002.4,49.3,7.9,944.9,6
Landslide,48.8574,-179.2137,23.3,217.5,90.0,24.2,977.4,83.3,4.0,1624.2,3
Drought,-32.8418,-50.1308,40.0,6.3,10.8,22.9,1021.6,10.2,0.6,188.4,8
Drought,-66.4743,-117.5857,35.1,4.1,13.7,20.3,1002.4,7.0,1.3,33.4,10
No Disaster,17.136,56.8382,11.0,3.3,39.0,10.8,1013.3,39.6,0.7,256.2,5
Tsunami,37.0116,27.843,28.9,21.0,66.1,8.6,1004.8,22.8,9.4,6.4,10
No Disaster,1.1216,-170.7724,23.9,17.0,45.7,4.6,993.6,40.9,0.5,506.7,9
No Disaster,13.4916,140.3752,19.8,9.5,55.6,9.4,1016.1,38.7,0.3,855.3,7
Hurricane,31.8599,63.0168,34.8,256.8,87.3,228.6,935.2,68.0,0.6,10.5,6
No Disaster,-65.8024,113.0641,19.1,19.0,40.2,2.2,1005.2,32.6,1.9,38.7,8
Wildfire,-23.6483,-156.2968,44.3,5.9,9.2,55.5,999.1,13.5,1.1,330.3,4
No Disaster,-75.343,-23.0975,18.3,8.1,36.3,11.9,1012.7,49.3,0.5,731.6,10
No Disaster,63.9875,-146.9174,22.5,7.2,48.4,3.1,992.0,36.5,0.3,312.4,8
Volcanic Eruption,30.2352,13.75,20.8,24.7,38.0,6.4,995.3,77.2,4.8,1540.1,12
Flood,-53.5568,140.4414,27.9,223.0,73.2,24.9,998.3,71.0,1.8,59.5,2
No Disaster,-88.1867,-6.8332,16.2,2.1,57.7,16.1,996.9,37.7,0.1,296.7,8
Heatwave,49.5263,-24.0911,41.9,1.8,9.0,0.4,1010.3,12.4,0.7,248.8,2
No Disaster,74.1192,161.7014,22.4,7.0,57.2,19.6,1000.5,37.8,1.1,187.2,9
Volcanic Eruption,67.488,129.1505,13.1,35.1,53.4,34.1,972.1,60.9,6.4,2061.7,10
No Disaster,74.311,-146.68,20.8,2.8,41.7,8.2,994.8,57.7,0.0,893.8,11
No Disaster,42.5982,-15.1472,18.5,13.9,47.8,17.6,1000.7,39.0,0.4,37.8,11
No Disaster,12.8455,-88.6575,22.0,1.4,50.7,3.5,1007.9,55.1,1.5,752.9,5
No Disaster,-43.7081,23.0706,18.0,2.8,47.7,6.3,991.6,58.5,1.3,876.9,3
Landslide,88.8544,-146.8449,13.6,369.3,81.9,14.0,1008.7,85.7,2.8,2784.1,7
No Disaster,36.5009,-164.8779,23.6,9.7,43.8,11.3,994.5,44.1,1.7,15.5,1
No Disaster,-89.5582,-30.3439,20.9,16.0,58.4,12.2,997.6,57.7,1.6,574.4,4
Tsunami,-43.3394,-135.9581,29.4,13.8,69.3,9.8,1013.2,28.4,8.9,37.5,1
No Disaster,65.8516,-132.4284,18.9,9.0,42.7,5.1,1001.2,33.2,0.5,272.0,6
Flood,-81.2609,54.4292,18.3,224.6,79.0,16.7,996.6,74.3,2.4,96.4,2
No Disaster,-35.9591,11.1994,16.1,5.5,33.9,16.4,1019.9,39.9,0.8,618.0,7
No Disaster,-10.8047,-10.7154,21.5,2.1,53.1,13.8,1012.2,52.0,0.9,211.4,3
Wildfire,82.4368,31.8692,35.2,0.6,19.9,13.6,991.4,10.6,1.9,614.3,3
Hurricane,24.1339,-171.3197,34.0,227.9,86.7,229.1,977.7,66.9,0.3,81.6,9
Wildfire,5.1849,91.3693,41.6,7.5,8.1,28.6,1009.0,0.5,1.4,1286.2,1
Earthquake,72.3917,3.005,18.2,43.3,64.5,19.0,1022.9,45.3,7.3,512.0,10
Wildfire,33.8714,174.9508,46.5,9.4,8.2,48.6,990.6,20.1,0.9,650.8,6
Hurricane,50.7762,112.4266,26.6,260.9,85.8,135.9,961.1,57.1,1.5,4.8,4
No Disaster,30.9789,-89.2097,14.9,16.7,52.9,6.6,1006.0,31.9,0.4,485.8,10
Hurricane,61.7998,78.4822,34.4,254.0,98.5,183.2,960.0,89.1,1.3,3.1,3
Blizzard,-54.1007,48.1735,-12.9,3.8,73.0,34.3,998.7,96.8,1.0,1514.4,12
No Disaster,-26.7057,-157.3647,19.3,3.8,47.1,14.8,1013.5,39.1,1.0,621.0,5
Tsunami,19.1624,91.922,29.0,27.5,83.3,4.6,990.7,39.2,7.4,35.5,2
Volcanic Eruption,-40.4902,120.5503,10.9,2.8,23.1,17.1,1015.2,51.4,6.1,1305.8,7
Hurricane,74.7317,-31.141,29.2,255.4,98.6,140.1,952.0,81.8,1.2,11.1,11
Earthquake,10.5106,-168.8059,19.2,23.1,52.6,13.4,990.7,50.1,7.9,686.7,12
Blizzard,-56.3088,98.3895,-15.8,3.5,74.4,71.1,999.4,88.7,1.3,1813.3,7
No Disaster,72.1182,25.2857,15.5,16.6,42.0,0.7,1014.6,46.4,0.7,250.9,4
Earthquake,71.0839,62.7118,14.1,46.6,35.9,3.0,993.1,52.5,6.0,277.6,7
Earthquake,-82.0421,-91.9394,25.3,3.5,28.8,13.9,1021.2,55.3,6.4,106.8,4
Landslide,-28.3847,-21.4734,20.6,296.9,79.5,16.6,1002.9,71.3,2.0,1916.1,1
Earthquake,-34.4174,-32.341,17.0,5.8,22.3,14.5,1012.6,41.3,6.7,1890.0,12
Heatwave,37.5261,-155.5466,41.1,1.0,14.3,14.3,1024.2,15.6,0.6,364.0,5
No Disaster,25.1875,97.9748,22.9,0.3,50.5,0.4,1011.2,49.1,0.3,766.1,6
No Disaster,60.1183,-129.4974,23.3,14.6,34.9,11.3,999.4,35.3,1.7,403.5,10
Drought,63.1445,3.607,40.8,8.0,17.3,7.3,1010.9,16.8,0.9,362.2,10
No Disaster,-89.2127,-81.4061,19.0,16.0,34.0,2.2,1017.7,52.5,1.2,769.2,2
No Disaster,-86.8557,-110.7457,21.3,18.7,32.6,11.2,997.6,34.2,0.4,577.8,10
Drought,53.6798,-24.0932,43.8,4.5,23.6,14.3,1005.7,4.0,0.6,377.7,2
Hurricane,-86.6613,80.8935,28.5,197.0,90.0,165.4,979.0,64.3,1.2,31.2,6
Flood,24.1432,-134.3802,26.0,280.8,83.5,36.5,1009.1,77.0,2.1,5.3,5
Blizzard,23.3119,-4.0658,-3.3,8.5,71.9,67.5,983.5,92.9,1.0,266.9,11
Hurricane,76.598,-44.7459,32.6,229.5,92.6,139.0,977.1,71.2,1.7,36.5,1
Earthquake,16.0877,66.3223,17.4,22.4,39.8,16.2,994.6,68.5,8.0,1773.8,2
Drought,-30.1898,144.2613,31.5,1.2,12.5,24.2,1015.8,11.1,1.1,208.7,8
No Disaster,-86.8132,130.2386,12.6,12.4,30.7,8.0,1019.6,33.0,0.8,307.1,2
Landslide,10.9722,-128.664,18.4,229.8,81.8,8.4,1011.9,90.5,3.0,2290.1,6
Volcanic Eruption,64.3658,-158.9073,9.3,49.9,46.0,28.1,962.8,64.4,7.6,1943.4,12
Drought,-69.2705,-29.5878,33.9,0.7,18.6,22.8,1016.9,5.0,0.9,471.6,10
Wildfire,79.2569,-74.2765,41.2,7.9,13.2,37.4,991.6,12.0,0.5,1499.1,1
Wildfire,89.5587,-63.3941,42.7,8.8,10.3,15.5,1018.5,14.7,1.0,1007.6,7
No Disaster,17.6828,127.7352,15.7,14.8,48.8,7.5,994.2,51.3,1.7,685.9,2
Earthquake,38.2576,-47.5549,16.7,12.6,54.6,19.3,997.0,33.8,6.0,1566.2,3
No Disaster,63.259,146.2515,17.6,11.9,51.2,16.7,993.6,54.3,1.0,450.6,2
Flood,20.3041,-164.5192,16.8,459.6,87.0,31.4,1005.3,78.6,1.9,52.5,5
Earthquake,64.9675,115.7928,12.4,42.4,44.8,5.1,1020.4,47.3,8.7,526.8,3
Earthquake,16.8969,-112.2671,27.8,40.4,51.2,14.5,1002.8,31.5,9.1,255.6,2
No Disaster,12.9389,-69.9973,17.4,10.0,30.7,7.1,1012.2,45.3,0.5,335.1,4
Earthquake,4.5989,10.2068,29.2,16.0,48.8,16.2,1016.6,40.6,6.1,1401.4,6
Landslide,28.121,-41.3852,22.5,387.5,94.2,11.3,1005.5,80.5,2.7,1066.8,5
Flood,60.9143,127.984,27.5,439.7,80.9,16.5,1007.9,72.3,1.0,70.0,7
No Disaster,9.3203,-81.3405,11.0,1.0,33.5,1.4,1012.8,44.6,0.7,418.4,2
Heatwave,-39.3166,-152.0656,41.5,1.4,5.4,12.8,1020.4,15.4,0.8,98.2,8
No Disaster,57.8023,-23.4071,20.9,5.4,33.0,7.0,1002.1,30.5,1.6,359.2,2
Volcanic Eruption,47.1795,-25.4444,6.1,8.4,47.4,32.6,976.6,61.5,8.5,3741.4,12
No Disaster,-26.0389,26.7373,22.5,13.8,30.6,6.7,994.3,37.0,1.8,36.9,6
No Disaster,-34.2775,42.0783,18.0,4.4,34.9,4.7,1005.1,38.1,1.9,463.9,10
Wildfire,46.0929,-144.6772,41.7,7.3,7.6,24.3,1015.9,26.6,0.1,418.5,3
Tsunami,76.8915,144.4993,20.9,4.0,74.9,2.1,1000.4,27.4,8.6,47.5,2
Hurricane,-77.4386,-87.8822,27.0,152.4,88.4,184.2,949.2,60.7,1.3,13.5,5
Drought,-44.5063,-67.894,31.8,8.6,17.3,16.4,1014.2,8.2,0.3,372.6,10
Hurricane,-42.395,-133.2106,30.0,211.1,92.5,235.6,970.3,61.0,1.8,83.3,11
Flood,48.3435,32.9969,19.7,498.3,71.1,14.9,1006.8,62.4,2.2,71.5,12
No Disaster,64.4391,85.2301,13.2,8.0,45.2,16.2,1015.2,57.3,1.0,694.3,6
Flood,56.9836,132.6623,24.6,334.3,89.9,31.2,1006.8,98.2,1.3,79.8,10
Landslide,-46.892,-100.3603,24.8,226.5,73.8,16.4,1008.6,90.3,3.2,2123.2,4
Wildfire,36.793,76.389,36.4,7.3,16.1,43.0,996.9,12.7,1.7,1071.3,3
Volcanic Eruption,-57.0791,-10.7104,22.4,11.3,48.6,5.3,977.7,47.1,5.8,2120.4,8
Wildfire,71.2538,28.0619,42.9,1.6,15.7,45.1,1019.0,9.0,1.5,764.3,4
Blizzard,-46.7037,5.5969,-12.9,2.2,90.3,38.6,1012.3,86.3,0.7,1600.8,5
Drought,55.0715,-132.9752,33.6,2.4,26.9,9.0,1019.7,9.2,1.5,419.5,10
Flood,66.7307,48.2509,27.7,278.3,72.9,28.5,993.0,77.1,1.3,36.1,3
Hurricane,72.5402,113.0646,28.1,296.0,82.2,233.4,974.0,80.3,1.1,12.0,8
No Disaster,11.5811,105.4485,14.1,12.5,54.8,14.1,1004.4,47.5,2.0,602.0,8
Drought,-86.2479,46.3483,39.4,9.9,15.0,11.6,1015.6,16.5,1.4,401.6,1
No Disaster,-65.0803,-136.8839,20.5,0.1,44.1,2.4,1015.5,58.8,1.9,442.0,10
No Disaster,-18.3677,62.8826,10.8,2.5,45.0,6.7,998.9,32.0,1.8,691.8,10
Volcanic Eruption,34.5386,58.7027,15.5,4.8,44.1,38.3,1019.7,69.2,5.1,1305.7,12
Flood,64.1829,79.8711,28.3,384.7,73.9,13.4,981.4,82.7,0.6,73.4,6
Wildfire,-48.4307,-144.5625,49.7,3.0,18.1,10.2,990.6,14.0,0.5,1096.8,1
Hurricane,56.805,66.9863,29.4,206.9,94.3,177.7,965.2,85.6,1.8,27.8,11
Tsunami,-46.8702,129.43,29.2,24.8,70.0,5.4,1006.5,56.1,9.5,6.6,3
Volcanic Eruption,61.9858,124.1691,11.6,4.4,62.3,14.4,953.2,46.3,4.7,2767.3,11
Blizzard,8.6616,-16.9147,-3.7,1.0,70.3,65.1,983.3,72.8,0.6,1282.9,11
Tsunami,-12.4052,-35.5191,20.3,20.9,84.2,13.3,994.5,25.2,8.4,20.1,12
Drought,84.204,80.6122,36.2,0.2,5.9,18.7,1020.9,14.2,0.6,15.6,6
Drought,67.2604,-69.3629,44.1,3.2,21.4,6.6,1006.1,15.5,0.8,464.0,10
No Disaster,66.5662,-18.376,24.7,19.2,39.9,17.7,1015.4,36.3,1.2,72.7,11
Heatwave,73.7919,149.6131,43.3,1.4,18.5,12.1,1014.4,10.2,0.7,21.0,11
Tsunami,35.2599,-89.0658,29.6,0.9,88.7,4.3,991.5,34.6,9.0,37.6,7
No Disaster,-52.7686,44.4628,15.4,16.9,43.6,14.5,992.9,41.9,2.0,808.5,5
No Disaster,-70.5265,50.73,17.8,18.0,51.8,10.2,1002.1,42.1,0.5,17.3,6
Landslide,81.4142,105.4777,18.7,311.7,97.9,12.9,984.9,99.3,5.5,1646.1,2
Flood,-77.7121,-29.5496,18.7,343.0,97.6,31.7,999.9,77.6,1.7,3.2,1
Flood,22.6061,-161.3805,18.2,222.3,78.7,28.8,997.0,84.5,1.4,27.3,6
No Disaster,49.0563,-63.1156,21.1,17.2,40.4,6.8,1017.0,31.5,0.7,118.7,2
Volcanic Eruption,86.3011,107.0062,11.0,42.4,65.5,11.9,979.9,47.4,4.6,3168.3,7
Hurricane,37.2773,142.4099,27.4,201.8,93.8,163.7,971.9,85.1,0.6,82.3,1
Earthquake,85.3093,-62.083,28.5,13.5,79.3,13.4,1006.2,54.5,6.6,548.3,8
No Disaster,68.175,120.8672,13.4,0.7,54.1,12.3,993.0,47.6,0.9,774.6,5
Drought,-4.719,53.4591,30.4,0.1,8.2,10.0,1010.7,9.7,0.2,336.7,11
No Disaster,-51.2581,-63.3499,17.8,15.7,55.2,11.7,1002.1,58.4,0.5,803.1,4
Wildfire,20.5256,129.9078,46.3,5.5,10.4,28.3,1016.4,1.2,2.0,1063.7,12
No Disaster,-83.1604,37.9905,17.3,2.1,38.3,17.8,1006.5,42.4,0.1,714.1,7
Earthquake,20.5278,3.6946,18.7,29.7,34.0,18.8,1010.6,42.4,7.3,1611.4,5
Flood,-37.2896,64.6229,19.7,437.8,73.9,32.9,982.1,60.5,2.2,58.1,3
Flood,-48.133,42.0789,22.6,497.5,99.5,29.1,993.3,79.6,1.7,10.2,9
Wildfire,-30.4267,-119.17,42.0,1.0,10.0,29.0,1004.0,14.0,0.5,1305.3,9
Wildfire,20.6882,171.7876,36.7,2.1,12.1,58.4,1013.2,26.9,0.7,1489.7,10
Hurricane,78.4752,-145.7766,31.7,170.0,97.0,176.6,934.1,74.7,0.0,77.6,3
No Disaster,50.1395,99.4102,18.0,15.9,47.9,6.3,1006.8,46.0,1.6,981.7,5
